survey_id,response_id,metric,score,category,subcategory,question_id
survey-demo,B0000,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0001,NPS,5,Atendimento,Demora,q_resolution
survey-demo,B0001,NPS,5,Atendimento,Demora,q_wait
survey-demo,B0001,NPS,5,Comunicação,Retorno,q_resolution
survey-demo,B0001,NPS,5,Comunicação,Retorno,q_wait
survey-demo,B0001,NPS,5,Processo,Agendamento,q_resolution
survey-demo,B0001,NPS,5,Processo,Agendamento,q_wait
survey-demo,B0002,NPS,0,Atendimento,Demora,q_wait
survey-demo,B0002,NPS,0,Comunicação,Retorno,q_wait
survey-demo,B0002,NPS,0,Processo,Agendamento,q_wait
survey-demo,B0003,CSAT,5,Atendimento,Demora,q_wait
survey-demo,B0003,CSAT,5,Comunicação,Retorno,q_wait
survey-demo,B0004,NPS,0,Atendimento,Demora,q_wait
survey-demo,B0004,NPS,0,Comunicação,Retorno,q_wait
survey-demo,B0004,NPS,0,Processo,Agendamento,q_wait
survey-demo,B0005,NPS,6,Atendimento,Demora,
survey-demo,B0005,NPS,6,Comunicação,Retorno,
survey-demo,B0005,NPS,6,Processo,Agendamento,
survey-demo,B0006,CSAT,3,Atendimento,Cordialidade,q_resolution
survey-demo,B0006,CSAT,3,Atendimento,Cordialidade,q_wait
survey-demo,B0006,CSAT,3,Atendimento,Demora,q_resolution
survey-demo,B0006,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0006,CSAT,3,Comunicação,Retorno,q_resolution
survey-demo,B0006,CSAT,3,Comunicação,Retorno,q_wait
survey-demo,B0006,CSAT,3,Processo,Agendamento,q_resolution
survey-demo,B0006,CSAT,3,Processo,Agendamento,q_wait
survey-demo,B0007,NPS,5,Atendimento,Cordialidade,q_channels
survey-demo,B0007,NPS,5,Atendimento,Cordialidade,q_resolution
survey-demo,B0007,NPS,5,Atendimento,Cordialidade,q_wait
survey-demo,B0007,NPS,5,Atendimento,Demora,q_channels
survey-demo,B0007,NPS,5,Atendimento,Demora,q_resolution
survey-demo,B0007,NPS,5,Atendimento,Demora,q_wait
survey-demo,B0007,NPS,5,Comunicação,Retorno,q_channels
survey-demo,B0007,NPS,5,Comunicação,Retorno,q_resolution
survey-demo,B0007,NPS,5,Comunicação,Retorno,q_wait
survey-demo,B0007,NPS,5,Processo,Agendamento,q_channels
survey-demo,B0007,NPS,5,Processo,Agendamento,q_resolution
survey-demo,B0007,NPS,5,Processo,Agendamento,q_wait
survey-demo,B0008,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0009,CSAT,3,Atendimento,Demora,q_channels
survey-demo,B0009,CSAT,3,Atendimento,Demora,q_resolution
survey-demo,B0009,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0009,CSAT,3,Comunicação,Retorno,q_channels
survey-demo,B0009,CSAT,3,Comunicação,Retorno,q_resolution
survey-demo,B0009,CSAT,3,Comunicação,Retorno,q_wait
survey-demo,B0009,CSAT,3,Processo,Agendamento,q_channels
survey-demo,B0009,CSAT,3,Processo,Agendamento,q_resolution
survey-demo,B0009,CSAT,3,Processo,Agendamento,q_wait
survey-demo,B0010,NPS,7,Atendimento,Demora,q_wait
survey-demo,B0011,NPS,4,Atendimento,Cordialidade,q_channels
survey-demo,B0011,NPS,4,Atendimento,Cordialidade,q_resolution
survey-demo,B0011,NPS,4,Atendimento,Cordialidade,q_wait
survey-demo,B0011,NPS,4,Atendimento,Demora,q_channels
survey-demo,B0011,NPS,4,Atendimento,Demora,q_resolution
survey-demo,B0011,NPS,4,Atendimento,Demora,q_wait
