survey_id,response_id,category,subcategory,source_version
survey-demo,B0000,Atendimento,Demora,2
survey-demo,B0001,Atendimento,Demora,1
survey-demo,B0001,Comunicação,Retorno,1
survey-demo,B0001,Processo,Agendamento,1
survey-demo,B0002,Atendimento,Demora,1
survey-demo,B0002,Comunicação,Retorno,1
survey-demo,B0002,Processo,Agendamento,1
survey-demo,B0003,Atendimento,Demora,1
survey-demo,B0003,Comunicação,Retorno,1
survey-demo,B0004,Atendimento,Demora,1
survey-demo,B0004,Comunicação,Retorno,1
survey-demo,B0004,Processo,Agendamento,1
survey-demo,B0005,Atendimento,Demora,1
survey-demo,B0005,Comunicação,Retorno,1
survey-demo,B0005,Processo,Agendamento,1
survey-demo,B0006,Atendimento,Cordialidade,1
survey-demo,B0006,Atendimento,Demora,1
survey-demo,B0006,Comunicação,Retorno,1
survey-demo,B0006,Processo,Agendamento,1
survey-demo,B0007,Atendimento,Cordialidade,1
survey-demo,B0007,Atendimento,Demora,1
survey-demo,B0007,Comunicação,Retorno,1
survey-demo,B0007,Processo,Agendamento,1
survey-demo,B0008,Atendimento,Demora,2
survey-demo,B0009,Atendimento,Demora,1
survey-demo,B0009,Comunicação,Retorno,1
survey-demo,B0009,Processo,Agendamento,1
survey-demo,B0010,Atendimento,Demora,1
survey-demo,B0011,Atendimento,Cordialidade,1
survey-demo,B0011,Atendimento,Demora,1
survey-demo,B0011,Comunicação,Retorno,1
survey-demo,B0011,Processo,Agendamento,1
survey-demo,B0013,Atendimento,Demora,1
survey-demo,B0013,Comunicação,Retorno,1
survey-demo,B0014,Atendimento,Cordialidade,1
survey-demo,B0014,Atendimento,Demora,1
survey-demo,B0014,Comunicação,Retorno,1
survey-demo,B0014,Processo,Agendamento,1
survey-demo,B0015,Atendimento,Demora,1
survey-demo,B0015,Comunicação,Retorno,1
survey-demo,B0015,Processo,Agendamento,1
survey-demo,B0016,Atendimento,Demora,2
survey-demo,B0017,Atendimento,Demora,1
survey-demo,B0017,Comunicação,Retorno,1
survey-demo,B0019,Atendimento,Demora,1
survey-demo,B0019,Comunicação,Retorno,1
survey-demo,B0019,Processo,Agendamento,1
survey-demo,B0020,Atendimento,Cordialidade,1
survey-demo,B0020,Atendimento,Demora,1
survey-demo,B0020,Comunicação,Retorno,1
survey-demo,B0020,Processo,Agendamento,1
survey-demo,B0021,Atendimento,Demora,1
survey-demo,B0022,Atendimento,Cordialidade,1
survey-demo,B0022,Atendimento,Demora,1
survey-demo,B0022,Comunicação,Retorno,1
survey-demo,B0022,Processo,Agendamento,1
survey-demo,B0023,Atendimento,Demora,1
survey-demo,B0023,Comunicação,Retorno,1
survey-demo,B0023,Processo,Agendamento,1
survey-demo,B0024,Atendimento,Demora,2
survey-demo,B0026,Atendimento,Demora,1
survey-demo,B0026,Comunicação,Retorno,1
survey-demo,B0027,Atendimento,Demora,1
survey-demo,B0027,Comunicação,Retorno,1
survey-demo,B0029,Atendimento,Demora,1
survey-demo,B0029,Comunicação,Retorno,1
survey-demo,B0030,Atendimento,Demora,1
survey-demo,B0030,Comunicação,Retorno,1
survey-demo,B0031,Atendimento,Demora,1
survey-demo,B0031,Comunicação,Retorno,1
survey-demo,B0032,Atendimento,Demora,2
survey-demo,B0033,Atendimento,Cordialidade,1
survey-demo,B0033,Atendimento,Demora,1
survey-demo,B0033,Comunicação,Retorno,1
survey-demo,B0033,Processo,Agendamento,1
survey-demo,B0034,Atendimento,Demora,1
survey-demo,B0034,Comunicação,Retorno,1
survey-demo,B0035,Atendimento,Cordialidade,1
survey-demo,B0035,Atendimento,Demora,1
survey-demo,B0035,Comunicação,Retorno,1
survey-demo,B0035,Processo,Agendamento,1
survey-demo,B0036,Atendimento,Demora,1
survey-demo,B0036,Comunicação,Retorno,1
survey-demo,B0036,Processo,Agendamento,1
survey-demo,B0038,Atendimento,Demora,1
survey-demo,B0038,Comunicação,Retorno,1
survey-demo,B0038,Processo,Agendamento,1
survey-demo,B0039,Atendimento,Demora,1
survey-demo,B0039,Comunicação,Retorno,1
survey-demo,B0039,Processo,Agendamento,1
survey-demo,B0040,Atendimento,Demora,2
survey-demo,B0041,Atendimento,Demora,1
survey-demo,B0042,Atendimento,Demora,1
survey-demo,B0042,Comunicação,Retorno,1
survey-demo,B0042,Processo,Agendamento,1
survey-demo,B0043,Atendimento,Demora,1
survey-demo,B0044,Atendimento,Demora,1
survey-demo,B0044,Comunicação,Retorno,1
survey-demo,B0045,Atendimento,Demora,1
survey-demo,B0045,Comunicação,Retorno,1
survey-demo,B0045,Processo,Agendamento,1
survey-demo,B0046,Atendimento,Demora,1
survey-demo,B0046,Comunicação,Retorno,1
survey-demo,B0047,Atendimento,Demora,1
survey-demo,B0047,Comunicação,Retorno,1
survey-demo,B0048,Atendimento,Demora,2
survey-demo,B0049,Atendimento,Demora,1
survey-demo,B0049,Comunicação,Retorno,1
survey-demo,B0049,Processo,Agendamento,1
survey-demo,B0051,Atendimento,Demora,1
survey-demo,B0051,Comunicação,Retorno,1
survey-demo,B0052,Atendimento,Demora,1
survey-demo,B0052,Comunicação,Retorno,1
survey-demo,B0052,Processo,Agendamento,1
survey-demo,B0053,Atendimento,Demora,1
survey-demo,B0054,Atendimento,Demora,1
survey-demo,B0054,Comunicação,Retorno,1
survey-demo,B0055,Atendimento,Demora,1
survey-demo,B0055,Comunicação,Retorno,1
survey-demo,B0055,Processo,Agendamento,1
survey-demo,B0056,Atendimento,Demora,2
survey-demo,B0057,Atendimento,Demora,1
survey-demo,B0058,Atendimento,Demora,1
survey-demo,B0058,Comunicação,Retorno,1
survey-demo,B0058,Processo,Agendamento,1
survey-demo,B0059,Atendimento,Demora,1
survey-demo,B0059,Comunicação,Retorno,1
survey-demo,B0060,Atendimento,Demora,1
survey-demo,B0060,Comunicação,Retorno,1
survey-demo,B0060,Processo,Agendamento,1
survey-demo,B0062,Atendimento,Demora,1
survey-demo,B0062,Comunicação,Retorno,1
survey-demo,B0062,Processo,Agendamento,1
survey-demo,B0063,Atendimento,Demora,1
survey-demo,B0063,Comunicação,Retorno,1
survey-demo,B0064,Atendimento,Demora,2
survey-demo,B0066,Atendimento,Cordialidade,1
survey-demo,B0066,Atendimento,Demora,1
survey-demo,B0066,Comunicação,Retorno,1
survey-demo,B0066,Processo,Agendamento,1
survey-demo,B0067,Atendimento,Demora,1
survey-demo,B0067,Comunicação,Retorno,1
survey-demo,B0067,Processo,Agendamento,1
survey-demo,B0068,Atendimento,Demora,1
survey-demo,B0068,Comunicação,Retorno,1
survey-demo,B0068,Processo,Agendamento,1
survey-demo,B0072,Atendimento,Demora,2
survey-demo,B0073,Atendimento,Demora,1
survey-demo,B0073,Comunicação,Retorno,1
survey-demo,B0073,Processo,Agendamento,1
survey-demo,B0074,Atendimento,Cordialidade,1
survey-demo,B0074,Atendimento,Demora,1
survey-demo,B0074,Comunicação,Retorno,1
survey-demo,B0074,Processo,Agendamento,1
survey-demo,B0075,Atendimento,Demora,1
survey-demo,B0075,Comunicação,Retorno,1
survey-demo,B0076,Atendimento,Demora,1
survey-demo,B0076,Comunicação,Retorno,1
survey-demo,B0076,Processo,Agendamento,1
survey-demo,B0077,Atendimento,Demora,1
survey-demo,B0078,Atendimento,Demora,1
survey-demo,B0078,Comunicação,Retorno,1
survey-demo,B0079,Atendimento,Demora,1
survey-demo,B0079,Comunicação,Retorno,1
survey-demo,B0080,Atendimento,Demora,2
survey-demo,B0081,Atendimento,Demora,1
survey-demo,B0081,Comunicação,Retorno,1
survey-demo,B0082,Atendimento,Cordialidade,1
survey-demo,B0082,Atendimento,Demora,1
survey-demo,B0082,Comunicação,Retorno,1
survey-demo,B0082,Processo,Agendamento,1
survey-demo,B0083,Atendimento,Cordialidade,1
survey-demo,B0083,Atendimento,Demora,1
survey-demo,B0083,Comunicação,Retorno,1
survey-demo,B0083,Processo,Agendamento,1
survey-demo,B0084,Atendimento,Demora,1
survey-demo,B0084,Comunicação,Retorno,1
survey-demo,B0085,Atendimento,Demora,1
survey-demo,B0086,Atendimento,Demora,1
survey-demo,B0086,Comunicação,Retorno,1
survey-demo,B0086,Processo,Agendamento,1
survey-demo,B0087,Atendimento,Demora,1
