survey_id,response_id,customer_id,source_version,updated_at,answered_at,created_at,metric,score,journey_stage,feedback,event_id,payload_hash,quality_status
survey-demo,B0000,customer-0000,2,2026-08-03T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,CSAT,2,onboarding,Comentário inteiramente sintético.,event-B0000-v2,16e9b6512d15789c64bc89f5ccdf04a60a8e9e566512f12dfc170aed4c27a895,has_rejected_history
survey-demo,B0001,customer-0000,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,5,service,Comentário inteiramente sintético.,event-B0001-v1,6d149c7a61aa64e3767b34b4c1f01bd4e006e8aa677748d0842d67720b702030,ok
survey-demo,B0002,customer-0001,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,0,support,Comentário inteiramente sintético.,event-B0002-v1,41e0b415334056166a1e727f89cab91510a93d5166c2237ee8cbb1343975e9b4,ok
survey-demo,B0003,customer-0001,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,CSAT,5,renewal,Comentário inteiramente sintético.,event-B0003-v1,3f29b32a79f112c22a1fcc795606d4b36ff170ea4d8527b50362348f302d7f2c,ok
survey-demo,B0004,customer-0002,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,0,onboarding,Comentário inteiramente sintético.,event-B0004-v1,302bf69ac733a8a4ec11989cd35092e91653f5f2ac06977e792fe2629a42f197,ok
survey-demo,B0005,customer-0002,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,6,service,Comentário inteiramente sintético.,event-B0005-v1,3619f672de16b5052cec605aa50c55a121a0ee51779a7aed42601919eb9db67e,ok
survey-demo,B0006,customer-0003,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,CSAT,3,support,Comentário inteiramente sintético.,event-B0006-v1,7a8e8bbd0e1da8b0d6f8bc92eeb29d2006d232cc7e61c11ba3ecc0df183d09c7,ok
survey-demo,B0007,customer-0003,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,5,renewal,Comentário inteiramente sintético.,event-B0007-v1,db2a113ec1d53909c5e502df1fc10daeeb2c569e2703f6fa9f707d136b7b8c32,ok
survey-demo,B0008,customer-0004,2,2026-08-03T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,4,onboarding,Comentário inteiramente sintético.,event-B0008-v2,298dd14a66156c922fed4cd0146df03ed6b4a6212fee3cdf0ba751954f3c7d28,ok
survey-demo,B0009,customer-0004,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,CSAT,3,service,Comentário inteiramente sintético.,event-B0009-v1,aff49bb39186d98d227a6ba6e636f923ebd88fbe706031d5edd494aa207adade,ok
survey-demo,B0010,customer-0005,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,7,support,Comentário inteiramente sintético.,event-B0010-v1,02fa4d1388847e412c171732cce42650b416282f585316d0ce633cd58976d549,ok
survey-demo,B0011,customer-0005,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,4,renewal,Comentário inteiramente sintético.,event-B0011-v1,f7b2f7053dd53cdb299cecb8d9565137a069faba9a858538fb480c68c0e5001b,ok
survey-demo,B0012,customer-0006,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,CSAT,4,onboarding,Comentário inteiramente sintético.,event-B0012-v1,77e3fba03dcc4e922372e89eb97605b9bef7767830236f5976f5c2ab97ac8445,ok
survey-demo,B0013,customer-0006,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,10,service,Comentário inteiramente sintético.,event-B0013-v1,2c0cdbda99361932bbc77e8d0773f78ba60bd99f79afc21475a79fda2f4f1b22,ok
survey-demo,B0014,customer-0007,1,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,2026-08-01T12:00:00.000000Z,NPS,1,support,Comentário inteiramente sintético.,event-B0014-v1,3c7039676fb57259ac4af8f285842e69320e8a428b583dd2e091d7edb600673d,ok
